product_id,product_name,price
1,Ground Espresso Coffee (250g),35
2,Cold Brew Coffee Pack (6 Bottles),90
3,Instant Coffee Powder (100g),25
4,Coffee Beans (500g),60
5,Coffee Drip Bags (10 Bags),45
6,French Press Coffee Set,120
7,Specialty Coffee Subscription,150
8,Flavored Coffee Pods (Pack of 10),75
9,Organic Green Coffee Beans (500g),70
10,Coffee Gift Hamper,180
11,Cold Brew Concentrate (500ml),55
12,Caramel Syrup (250ml),30
13,Mocha Flavored Coffee Mix (200g),45
14,Vanilla Coffee Syrup (250ml),32
15,Coffee Mug (Ceramic),35
16,Stainless Steel Tumbler,50
17,Coffee-Themed T-Shirt,60
18,Reusable Coffee Cup (Eco-friendly),45
19,Glass Coffee Jar (500ml),30
20,Coffee Bean Storage Canister,80
21,Insulated Travel Mug,65
22,Coffee Art Print,40
23,Customizable Coffee Coaster Set,25
24,Tote Bag with Coffee Design,50
25,Coffee Recipe Book,60
26,Coffee Plant Kit (DIY),90
27,Personalized Coffee Spoon,2
28,Coffee-Themed Notebook,30
